timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1691020800000,39,29186.00,29433.33,28968.00,29193.64,26476.9199,-276.0203,-276.0203,-276.0203,-267.5677,-8.4526,29385.5027,29598.2883,29966.5566,30178.9313,30310.5465,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,32.7596,716.5680,568.5955,0.8184,0,2023-08-03 00:00:00
1691107200000,40,29193.65,29333.08,28807.54,29113.99,23551.9522,-280.6509,-280.6509,-280.6509,-270.1843,-10.4665,29336.1368,29552.1646,29933.1226,30157.8433,30298.6405,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,28.4676,738.5240,585.3275,0.8979,0,2023-08-04 00:00:00
1691193600000,41,29114.00,29152.23,28978.64,29072.13,11645.5202,-284.4198,-284.4198,-284.4198,-273.0314,-11.3884,29288.1355,29506.4470,29899.3582,30136.3441,30286.4364,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,26.5553,687.6020,575.1485,0.3018,0,2023-08-05 00:00:00
1691280000000,42,29072.13,29205.09,28991.88,29088.42,13178.1972,-282.8319,-282.8319,-282.8319,-274.9915,-7.8404,29251.8236,29466.6349,29867.5567,30115.5931,30274.5158,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,27.4446,499.5340,551.9210,0.3863,0,2023-08-06 00:00:00
1691366400000,43,29088.43,29276.78,28701.03,29211.06,30966.8775,-268.5814,-268.5814,-268.5814,-273.7095,5.1281,29244.4121,29442.2945,29841.8117,30097.6815,30263.9342,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,34.1398,390.6840,544.3195,1.0577,0,2023-08-07 00:00:00
1691452800000,44,29211.06,30244.00,29146.45,29770.42,45700.5339,-209.7345,-209.7345,-209.7345,-260.9145,51.1800,29340.0499,29473.5445,29839.0120,30091.2011,30259.0236,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,64.6766,517.1280,577.8405,1.8994,0,2023-08-08 00:00:00
1691539200000,45,29770.41,30160.00,29376.67,29581.99,38003.8872,-176.2706,-176.2706,-176.2706,-243.9857,67.7151,29384.0390,29483.8727,29828.9327,30081.1177,30252.2869,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,56.4694,568.6860,574.6820,1.3631,0,2023-08-09 00:00:00
1691625600000,46,29581.99,29738.00,29320.20,29455.75,23463.4537,-158.1141,-158.1141,-158.1141,-226.8114,68.6973,29397.0773,29481.1943,29814.2981,30068.7342,30244.3612,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,49.3142,617.5280,578.8040,0.7218,0,2023-08-10 00:00:00
1691712000000,47,29455.76,29564.52,29252.45,29426.03,20637.0443,-144.4579,-144.4579,-144.4579,-210.3407,65.8828,29402.3415,29475.9406,29799.0719,30056.0074,30236.2186,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,47.6297,637.30,575.7125,0.5421,0,2023-08-11 00:00:00
1691798400000,48,29426.02,29481.35,29381.56,29430.17,8971.4807,-131.7821,-131.7821,-131.7821,-194.6290,62.8469,29407.4012,29471.5815,29784.6052,30043.6146,30228.1982,Bearish,Bearish,Normal,LightGreen,lightred,0,0,0,0,50.9238,542.1080,549.7020,0.1815,0,2023-08-12 00:00:00
